RE,Timestep Method,Spatial Method,Field,L2 Error,Maximum Error,Mean data
10,explicit_euler,QUICK,u,0.042352748201820285,0.18700077258817305,0.019761119380327
10,explicit_euler,QUICK,w,0.042393829413594965,0.06150633832077721,-1.45636546956033e-05
10,explicit_euler,QUICK,p,0.12322805315360777,0.34723338280733174,-0.007622603114467969
10,explicit_euler,cdf2,u,0.04160737319467862,0.18102642664616705,0.018777150706488697
10,explicit_euler,cdf2,w,0.0479457854729279,0.06596273429834207,-1.2117319455173582e-05
10,explicit_euler,cdf2,p,0.10189089650289944,0.2854071254159031,-0.007359613567202044
10,projection,QUICK,u,0.03913354017683071,0.17926364366906855,0.018783974693854823
10,projection,QUICK,w,0.046674078104144145,0.06656287774197805,-1.1507671841514755e-05
10,projection,QUICK,p,0.13358462519798212,0.4252326760822118,-0.007456487709595757
10,projection,cdf2,u,0.04060903540729401,0.17225423215310054,0.017865589661827008
10,projection,cdf2,w,0.05352448978539661,0.07110276523074209,-9.64113258299002e-06
10,projection,cdf2,p,0.11194338446561165,0.3547035641075157,-0.007484823813480412
100,explicit_euler,QUICK,u,1.296011864436175,1.399132445618831,0.23784065365316465
100,explicit_euler,QUICK,w,1.368279620144675,1.3432345188998214,-0.002559662726926211
100,explicit_euler,QUICK,p,28.584277760064126,92.33299567854209,-3.7298849499551654
100,explicit_euler,cdf2,u,1.3399955668536478,1.2258014067712435,0.22935048089723495
100,explicit_euler,cdf2,w,1.5334940773175545,1.9153284097396461,-0.0023389438636419306
100,explicit_euler,cdf2,p,19.09170483224387,64.44604754471172,-3.199484027182496
100,projection,QUICK,u,1.3148495612519924,1.476548053302999,0.23643638409636156
100,projection,QUICK,w,1.3918491917202396,1.3346025490593723,-0.0024767126972262757
100,projection,QUICK,p,28.701746420354258,93.84618462317829,-3.7123470632832745
100,projection,cdf2,u,1.3635430548178669,1.2812269364834168,0.22742776540660997
100,projection,cdf2,w,1.5661449827180973,1.9789121200778552,-0.0022572724912004218
100,projection,cdf2,p,19.288382018910788,66.19249539636326,-3.199624406236363
